scenario,platform,commit,runIndex,emitsPerSecond,gcAllocations,wallClockMs,gcAllocatedBytes
Comparison_DxMessaging_GlobalToMany,Standalone IL2CPP x64 Release (WindowsPlayer; Unity 6000.3.16f1),1b85786254dc47e2dd28669d899678d149227a03,-1,16449190.700,-1,5000.246,-1
Comparison_DxMessaging_KeyedToOne,Standalone IL2CPP x64 Release (WindowsPlayer; Unity 6000.3.16f1),1b85786254dc47e2dd28669d899678d149227a03,-1,11269676.110,-1,5000.144,-1
Comparison_DxMessaging_PriorityOrdered,Standalone IL2CPP x64 Release (WindowsPlayer; Unity 6000.3.16f1),1b85786254dc47e2dd28669d899678d149227a03,-1,25550752.612,-1,5000.244,-1
Comparison_DxMessaging_Filtered,Standalone IL2CPP x64 Release (WindowsPlayer; Unity 6000.3.16f1),1b85786254dc47e2dd28669d899678d149227a03,-1,7798194.406,-1,5001.158,-1
Comparison_DxMessaging_PostProcess,Standalone IL2CPP x64 Release (WindowsPlayer; Unity 6000.3.16f1),1b85786254dc47e2dd28669d899678d149227a03,-1,15087523.232,-1,5000.821,-1
Comparison_DxMessaging_SubUnsub,Standalone IL2CPP x64 Release (WindowsPlayer; Unity 6000.3.16f1),1b85786254dc47e2dd28669d899678d149227a03,-1,910874.305,-1,5006.179,-1
Comparison_DxMessaging_StructNoBox,Standalone IL2CPP x64 Release (WindowsPlayer; Unity 6000.3.16f1),1b85786254dc47e2dd28669d899678d149227a03,-1,31205045.750,-1,5000.153,-1
Comparison_CsEvent_GlobalToOne,Standalone IL2CPP x64 Release (WindowsPlayer; Unity 6000.3.16f1),1b85786254dc47e2dd28669d899678d149227a03,-1,329674879.105,-1,5000.017,-1
Comparison_CsEvent_GlobalToMany,Standalone IL2CPP x64 Release (WindowsPlayer; Unity 6000.3.16f1),1b85786254dc47e2dd28669d899678d149227a03,-1,45621782.840,-1,5000.024,-1
Comparison_CsEvent_KeyedToOne,Standalone IL2CPP x64 Release (WindowsPlayer; Unity 6000.3.16f1),1b85786254dc47e2dd28669d899678d149227a03,-1,69522239.697,-1,5000.127,-1
Comparison_CsEvent_SubUnsub,Standalone IL2CPP x64 Release (WindowsPlayer; Unity 6000.3.16f1),1b85786254dc47e2dd28669d899678d149227a03,-1,13053868.939,-1,5000.050,-1
Comparison_CsEvent_StructNoBox,Standalone IL2CPP x64 Release (WindowsPlayer; Unity 6000.3.16f1),1b85786254dc47e2dd28669d899678d149227a03,-1,352389217.696,-1,5000.011,-1
Comparison_UnityEvent_GlobalToOne,Standalone IL2CPP x64 Release (WindowsPlayer; Unity 6000.3.16f1),1b85786254dc47e2dd28669d899678d149227a03,-1,92783819.999,-1,5000.010,-1
Comparison_UnityEvent_GlobalToMany,Standalone IL2CPP x64 Release (WindowsPlayer; Unity 6000.3.16f1),1b85786254dc47e2dd28669d899678d149227a03,-1,10923114.135,-1,5000.406,-1
Comparison_UnityEvent_KeyedToOne,Standalone IL2CPP x64 Release (WindowsPlayer; Unity 6000.3.16f1),1b85786254dc47e2dd28669d899678d149227a03,-1,99833832.279,-1,5000.008,-1
Comparison_UnityEvent_SubUnsub,Standalone IL2CPP x64 Release (WindowsPlayer; Unity 6000.3.16f1),1b85786254dc47e2dd28669d899678d149227a03,-1,3514158.581,-1,5002.620,-1
Comparison_UnityEvent_StructNoBox,Standalone IL2CPP x64 Release (WindowsPlayer; Unity 6000.3.16f1),1b85786254dc47e2dd28669d899678d149227a03,-1,93755742.362,-1,5000.120,-1
Comparison_ScriptableObject_GlobalToOne,Standalone IL2CPP x64 Release (WindowsPlayer; Unity 6000.3.16f1),1b85786254dc47e2dd28669d899678d149227a03,-1,150564973.147,-1,5000.034,-1
Comparison_ScriptableObject_GlobalToMany,Standalone IL2CPP x64 Release (WindowsPlayer; Unity 6000.3.16f1),1b85786254dc47e2dd28669d899678d149227a03,-1,24426123.585,-1,5000.384,-1
Comparison_ScriptableObject_KeyedToOne,Standalone IL2CPP x64 Release (WindowsPlayer; Unity 6000.3.16f1),1b85786254dc47e2dd28669d899678d149227a03,-1,180919685.200,-1,5000.009,-1
Comparison_ScriptableObject_SubUnsub,Standalone IL2CPP x64 Release (WindowsPlayer; Unity 6000.3.16f1),1b85786254dc47e2dd28669d899678d149227a03,-1,31101857.704,-1,5000.344,-1
Comparison_ScriptableObject_StructNoBox,Standalone IL2CPP x64 Release (WindowsPlayer; Unity 6000.3.16f1),1b85786254dc47e2dd28669d899678d149227a03,-1,179778838.629,-1,5000.032,-1
Comparison_UnitySendMessage_GlobalToOne,Standalone IL2CPP x64 Release (WindowsPlayer; Unity 6000.3.16f1),1b85786254dc47e2dd28669d899678d149227a03,-1,7539841.362,-1,5000.105,-1
Comparison_UnitySendMessage_GlobalToMany,Standalone IL2CPP x64 Release (WindowsPlayer; Unity 6000.3.16f1),1b85786254dc47e2dd28669d899678d149227a03,-1,1059755.811,-1,5001.152,-1
Comparison_UnitySendMessage_KeyedToOne,Standalone IL2CPP x64 Release (WindowsPlayer; Unity 6000.3.16f1),1b85786254dc47e2dd28669d899678d149227a03,-1,7777006.254,-1,5000.639,-1
Comparison_MessagePipe_GlobalToOne,Standalone IL2CPP x64 Release (WindowsPlayer; Unity 6000.3.16f1),1b85786254dc47e2dd28669d899678d149227a03,-1,83103022.708,-1,5000.059,-1
Comparison_MessagePipe_GlobalToMany,Standalone IL2CPP x64 Release (WindowsPlayer; Unity 6000.3.16f1),1b85786254dc47e2dd28669d899678d149227a03,-1,15823776.252,-1,5000.071,-1
Comparison_MessagePipe_KeyedToOne,Standalone IL2CPP x64 Release (WindowsPlayer; Unity 6000.3.16f1),1b85786254dc47e2dd28669d899678d149227a03,-1,10471720.824,-1,5000.133,-1
Comparison_MessagePipe_Filtered,Standalone IL2CPP x64 Release (WindowsPlayer; Unity 6000.3.16f1),1b85786254dc47e2dd28669d899678d149227a03,-1,72549793.959,-1,5000.014,-1
Comparison_MessagePipe_SubUnsub,Standalone IL2CPP x64 Release (WindowsPlayer; Unity 6000.3.16f1),1b85786254dc47e2dd28669d899678d149227a03,-1,2122435.722,-1,5003.685,-1
Comparison_MessagePipe_StructNoBox,Standalone IL2CPP x64 Release (WindowsPlayer; Unity 6000.3.16f1),1b85786254dc47e2dd28669d899678d149227a03,-1,86878041.769,-1,5000.113,-1
Comparison_UniRx_GlobalToOne,Standalone IL2CPP x64 Release (WindowsPlayer; Unity 6000.3.16f1),1b85786254dc47e2dd28669d899678d149227a03,-1,4708944.537,-1,5001.121,-1
Comparison_UniRx_GlobalToMany,Standalone IL2CPP x64 Release (WindowsPlayer; Unity 6000.3.16f1),1b85786254dc47e2dd28669d899678d149227a03,-1,2675979.663,-1,5000.038,-1
Comparison_UniRx_SubUnsub,Standalone IL2CPP x64 Release (WindowsPlayer; Unity 6000.3.16f1),1b85786254dc47e2dd28669d899678d149227a03,-1,756640.861,-1,5008.981,-1
Comparison_UniRx_StructNoBox,Standalone IL2CPP x64 Release (WindowsPlayer; Unity 6000.3.16f1),1b85786254dc47e2dd28669d899678d149227a03,-1,4590364.270,-1,5001.782,-1
Comparison_ZenjectSignalBus_GlobalToOne,Standalone IL2CPP x64 Release (WindowsPlayer; Unity 6000.3.16f1),1b85786254dc47e2dd28669d899678d149227a03,-1,2184745.164,-1,5012.026,-1
Comparison_ZenjectSignalBus_GlobalToMany,Standalone IL2CPP x64 Release (WindowsPlayer; Unity 6000.3.16f1),1b85786254dc47e2dd28669d899678d149227a03,-1,1131520.937,-1,5002.117,-1
Comparison_ZenjectSignalBus_SubUnsub,Standalone IL2CPP x64 Release (WindowsPlayer; Unity 6000.3.16f1),1b85786254dc47e2dd28669d899678d149227a03,-1,1521535.840,-1,5001.525,-1
Comparison_ZenjectSignalBus_StructNoBox,Standalone IL2CPP x64 Release (WindowsPlayer; Unity 6000.3.16f1),1b85786254dc47e2dd28669d899678d149227a03,-1,2029056.002,-1,5002.326,-1
Comparison_UnityAtoms_GlobalToOne,Standalone IL2CPP x64 Release (WindowsPlayer; Unity 6000.3.16f1),1b85786254dc47e2dd28669d899678d149227a03,-1,111485551.828,-1,5000.020,-1
Comparison_UnityAtoms_GlobalToMany,Standalone IL2CPP x64 Release (WindowsPlayer; Unity 6000.3.16f1),1b85786254dc47e2dd28669d899678d149227a03,-1,34070964.243,-1,5000.152,-1
Comparison_UnityAtoms_KeyedToOne,Standalone IL2CPP x64 Release (WindowsPlayer; Unity 6000.3.16f1),1b85786254dc47e2dd28669d899678d149227a03,-1,111905623.997,-1,5000.017,-1
Comparison_UnityAtoms_SubUnsub,Standalone IL2CPP x64 Release (WindowsPlayer; Unity 6000.3.16f1),1b85786254dc47e2dd28669d899678d149227a03,-1,10702426.315,-1,5000.735,-1
